Date,Dividends
2011-12-16,0.256
2013-12-13,0.344
2015-04-01,0.326
2013-04-05,0.271
2017-07-07,0.419
2019-07-05,0.48
2016-04-15,0.364
2015-07-01,0.45
2013-07-05,0.279
2018-12-28,0.0
2017-10-06,0.451
2019-10-04,0.502
2020-07-10,0.498
2020-04-08,0.542
2011-10-07,0.223
2013-10-04,0.309
2015-10-02,0.366
2017-12-15,0.456
2019-12-13,0.751
2015-12-18,0.428
2018-04-06,0.404
2012-12-14,0.345
2012-04-04,0.186
2014-04-04,0.298
2016-07-08,0.369
2018-07-06,0.449
2021-04-09,0.413
2014-07-03,0.334
2012-07-06,0.288
2016-10-07,0.388
2018-10-05,0.451
2020-10-02,0.456
2012-10-05,0.282
2014-10-03,0.33
2016-12-16,0.456
2018-12-14,0.503
2020-12-11,0.586
2014-12-19,0.399
2015-04-10,0.0
2017-04-07,0.364
2019-04-05,0.455
