Date,Dividends
2014-07-31,0.025
2011-12-16,0.0
2011-08-31,0.031
2017-03-31,0.025
2016-12-30,0.026
2017-06-30,0.024
2019-04-30,0.027
2020-08-31,0.017
2011-12-30,0.029
2013-06-28,0.021
2017-09-29,0.024
2012-08-31,0.024
2015-04-30,0.024
2015-12-18,0.0
2016-08-31,0.023
2019-02-28,0.026
2012-10-12,0.0
2017-10-31,0.024
2020-12-04,0.0
2012-02-29,0.027
2013-04-30,0.022
2016-12-02,0.0
2013-10-31,0.025
2013-12-31,0.025
2020-09-30,0.02
2012-03-30,0.027
2020-11-30,0.019
2017-12-29,0.026
2015-11-30,0.025
2012-06-29,0.025
2016-09-30,0.023
2017-10-13,0.0
2018-07-31,0.026
2019-01-31,0.027
2015-08-31,0.025
2016-02-29,0.024
2021-03-31,0.018
2012-09-28,0.023
2011-11-30,0.028
2015-03-31,0.025
2012-04-30,0.026
2019-03-29,0.028
2012-10-31,0.023
2015-06-30,0.024
2019-06-28,0.027
2015-10-09,0.0
2016-10-31,0.024
2012-11-30,0.023
2014-05-30,0.025
2018-08-31,0.026
2016-11-30,0.022
2014-08-29,0.025
2020-10-09,0.0
2020-03-31,0.025
2019-10-31,0.026
2019-12-31,0.027
2018-11-30,0.027
2015-12-31,0.025
2018-06-29,0.025
2013-05-31,0.022
2013-11-29,0.024
2014-09-30,0.025
2020-04-30,0.024
2011-10-31,0.029
2017-05-31,0.025
2018-09-28,0.026
2013-08-30,0.023
2014-02-28,0.023
2018-02-28,0.023
2018-10-31,0.027
2014-01-31,0.025
2020-12-31,0.021
2012-12-31,0.022
2019-11-29,0.025
2020-05-29,0.024
2014-10-31,0.025
2013-03-28,0.022
2014-11-28,0.024
2013-09-30,0.022
2016-05-31,0.025
2015-02-27,0.024
2018-01-31,0.026
2019-07-31,0.027
2012-05-31,0.028
2013-07-31,0.023
2015-01-30,0.027
2020-06-30,0.021
2016-03-31,0.025
2017-07-31,0.024
2019-05-31,0.027
2016-06-30,0.024
2015-05-29,0.024
2019-08-30,0.027
2020-02-28,0.024
2014-04-30,0.025
2012-12-21,0.0
2018-04-30,0.025
2011-10-14,0.0
2018-12-31,0.027
2016-01-29,0.025
2016-07-29,0.024
2020-10-30,0.021
2013-02-28,0.021
2017-11-30,0.024
2019-09-30,0.026
2014-12-31,0.025
2012-01-31,0.029
2012-07-31,0.025
2021-02-26,0.016
2015-09-30,0.024
2021-04-30,0.017
2018-05-31,0.026
2017-04-28,0.024
2020-01-31,0.027
2011-09-30,0.029
2017-02-28,0.022
2014-03-31,0.025
2013-01-31,0.022
2015-07-31,0.025
2018-03-29,0.025
2014-06-30,0.024
2015-10-30,0.025
2017-08-31,0.024
2017-01-31,0.026
2016-04-29,0.024
2014-12-19,0.0
2020-07-31,0.018
2021-01-29,0.023
