Date,Dividends
2021-03-22,0.513
2007-12-20,0.281
2008-09-24,0.268
2017-03-29,0.425
2020-12-21,0.664
2016-09-13,0.393
2013-06-24,0.345
2009-03-25,0.276
2015-12-23,0.475
2017-06-21,0.518
2019-12-18,0.599
2013-03-22,0.288
2013-09-23,0.357
2011-12-21,0.332
2009-06-24,0.231
2017-09-20,0.43
2020-06-29,0.601
2011-09-23,0.285
2020-03-26,0.474
2007-06-25,0.191
2008-12-22,0.257
2012-03-26,0.272
2020-09-29,0.558
2007-09-24,0.217
2008-03-25,0.22
2012-06-25,0.317
2016-06-21,0.446
2016-12-22,0.577
2016-03-21,0.41
2008-06-24,0.281
2012-09-24,0.323
2012-12-20,0.498
2010-09-24,0.267
2019-03-28,0.51
2006-06-26,0.098
2015-03-23,0.459
2006-09-25,0.177
2019-09-24,0.552
2017-12-21,0.546
2011-03-25,0.272
2015-06-26,0.442
2009-12-22,0.241
2015-09-23,0.443
2011-06-24,0.283
2013-12-20,0.398
2007-03-26,0.184
2019-06-17,0.473
2018-03-26,0.397
2006-12-22,0.251
2009-09-24,0.231
2014-03-24,0.329
2018-06-28,0.566
2014-06-23,0.408
2010-03-25,0.225
2018-09-26,0.498
2014-09-22,0.39
2010-12-22,0.306
2014-12-18,0.458
2010-06-24,0.25
2018-12-17,0.577
