timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-07-02,115.0400,115.4500,115.0100,115.3600,115.3600,26547008,0.1555
2021-06-25,115.0600,115.1700,114.7516,114.8600,114.7050,33285545,0.0000
2021-06-18,115.1800,115.3900,114.5100,115.2900,115.1345,33455567,0.0000
2021-06-11,113.9700,115.4300,113.9700,115.2300,115.0745,19570563,0.0000
2021-06-04,114.3600,114.6800,114.1640,114.6800,114.5253,20313880,0.1669
2021-05-28,114.5000,114.8000,114.0285,114.5500,114.2287,26030063,0.0000
2021-05-21,114.2100,114.6200,113.7900,114.3400,114.0193,25610138,0.0000
2021-05-14,114.6100,114.7200,113.7800,114.3000,113.9794,29496738,0.0000
2021-05-07,114.4000,114.9700,114.3300,114.6100,114.2886,27304681,0.1726
2021-04-30,114.7400,115.1300,114.0900,114.4900,113.9969,27105871,0.0000
2021-04-23,114.0000,115.0860,114.0000,114.7500,114.2558,23291372,0.0000
2021-04-16,114.1720,114.9800,113.7800,114.5400,114.0467,21922936,0.0000
2021-04-09,113.7800,114.3300,113.6900,114.1800,113.6882,30999140,0.0000
2021-04-01,113.5200,114.0500,113.5200,114.0400,113.5488,29704130,0.1722
2021-03-26,113.7000,114.2900,113.6022,113.9100,113.2484,26858343,0.0000
2021-03-19,113.6000,114.0320,113.2000,113.5100,112.8507,26146225,0.0000
2021-03-12,114.2000,114.5400,113.7050,113.7900,113.1291,32147935,0.0000
2021-03-05,114.9700,115.5899,114.0500,114.2800,113.6162,48076155,0.1897
2021-02-26,115.7600,115.8662,114.2000,115.3400,114.4814,43003529,0.0000
2021-02-19,116.2200,116.2900,115.7515,115.8400,114.9777,21994004,0.0000
2021-02-12,116.7500,117.0300,116.5418,116.5800,115.7122,20288551,0.0000
2021-02-05,117.2000,117.2600,116.6900,116.7100,115.8412,26035632,0.1920
2021-01-29,117.3900,117.6700,116.5625,117.3100,116.2464,29649096,0.0000
2021-01-22,117.2700,117.4300,117.1400,117.2500,116.1869,25645457,0.0000
2021-01-15,117.0200,117.6300,116.6800,117.2500,116.1869,35725636,0.0000
2021-01-08,118.0800,118.1400,116.9800,117.0800,116.0185,38548054,0.0000
2020-12-31,117.9700,118.2400,117.8330,118.1900,117.1184,16451271,0.0000
2020-12-24,117.9200,118.0460,117.6300,117.9900,116.9202,15707081,0.0000
2020-12-18,117.8600,118.0600,117.7299,117.7900,116.7220,23876791,0.1253
2020-12-11,117.7600,118.0900,117.5172,118.0300,116.8357,31738865,0.0000
2020-12-04,118.3200,118.4500,117.5133,117.5900,116.4001,31004105,0.2060
2020-11-27,118.2800,118.3000,118.0200,118.2600,116.8591,16997348,0.0000
2020-11-20,117.6100,118.3400,117.5800,118.2900,116.8887,32690958,0.0000
